GEOID,UERPCTCHG,PCIPCTCHG,POVPCTCHG
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
17031190900,-2.3,8.1,4.8
17031191000,-4,21.6,3.1
17031191100,0.1,12.8,-6.3
17031191200,-4.1,19,-1.1
17031191301,-3.2,31.5,-5.6
17031191302,0.1,29.9,-10.2
17031200100,-4.6,0.3,-2.5
17031200200,-0.7,-3.9,13
17031200300,7,8.6,-4.6
17031200401,0.9,4.4,5.4
17031200402,-13.5,29.9,2.6
17031210100,-2,1,8.2
17031210400,-3.8,18.7,10.7
17031210501,0.9,41,-8.6
17031210502,2,-11.2,8.9
17031210601,-2.5,48.3,0.3
17031210602,-10.5,63.7,6.2
17031210700,-0.6,15.3,7.7
17031210800,0.6,110.8,-28.4
17031210900,-0.6,10.5,9.9
17031220300,-1.5,23.7,-7.7
17031220400,0,22.2,-8.4
17031220500,-4.2,11.5,-7.2
17031220601,3.2,3.8,9
17031220602,-5.3,13.7,-5.5
17031220701,-6.4,44.6,-5.4
17031220702,-0.6,3.5,-6.4
17031220901,-3.5,-10,21.5
17031220902,1.7,31.1,-1.4
17031221000,-8,19.7,0.2
17031221100,0.6,26.3,-1.6
17031221200,-4,25.2,-2.2
17031221300,0.1,40.6,-7.6
17031221400,-2.3,78.3,-8.1
17031221500,-1.7,25.6,-4.6
17031221600,0.9,39.4,-7.1
17031222200,3.9,1.6,-1.1
17031222500,2,28.3,7.6
17031222600,2,50.7,-6.4
17031222700,-14.5,42.8,2.2
17031222800,6.6,27.6,-5
17031222900,-11,91.1,-14.4
17031230100,-1,38.5,-2
17031230200,8.2,-26.2,-3.8
17031230300,9.1,10.2,-1
17031230400,5.2,24.3,-3.9
17031230500,-1.7,31,-0.8
17031230600,16.9,-16,9.9
17031230700,0.6,11.4,-3.1
17031230800,6.5,43.2,11.9
17031230900,0.1,26,4.4
17031231100,7.5,3.8,2.2
17031231200,-9.1,20.8,-4.2
17031231500,-5.2,-1.2,-4.9
17031240200,-1.4,25.1,-0.7
17031240300,-2.6,-2.6,-0.5
17031240500,-4.3,34.9,-3.3
17031240600,2,35.9,-5.4
17031240700,-13.4,68.4,-2.6
17031240800,-2,18.4,9.5
17031240900,-4.7,28.2,-9.7
17031241000,-2.6,41.6,-12.5
17031241100,-3.2,38.3,-4.1
17031241200,-3.9,41.5,-0.4
17031241300,2.4,24.8,-1
17031241400,1.2,41.5,-3.5
17031241500,0.5,34.7,-2.2
17031241600,1.8,45.8,-3.1
17031242000,-4.9,34,-5.1
17031242100,1.5,21.9,-6.4
17031242200,-0.3,30.2,0.8
17031242300,0.9,30.2,-2.6
17031242400,0.3,9.4,3
17031242500,0.4,44.8,-7.2
17031242600,1.1,11.7,-5.1
17031242700,4.3,43.1,-4.3
17031242800,-0.8,26.5,7.4
17031242900,-4.6,48,-13.5
17031243000,-2.9,-6.7,-9.2
17031243100,4.7,6.1,3.5
17031243200,-1.5,26,8.2
17031243300,1.7,15.7,-1
17031243400,-1.1,40.9,3.2
17031243500,1,4.3,-2.9
17031250200,6.8,-9.4,16.7
17031250300,1.9,-9.3,12.1
17031250400,-5.3,-14.2,14.8
17031250500,5,4.8,4.8
17031250600,-4.7,34.8,-8.8
17031250700,-4,19,4.4
17031250800,3.3,-22.5,11.2
17031251000,0.9,60.9,-12.1
17031251100,-11.5,-6.3,15.8
17031251200,2.4,4.9,3.1
17031251300,3.3,19.3,3.7
17031251400,4.1,-15.8,1.9
17031251500,-5,41.1,6.3
17031251600,-26.5,25.9,-4.5
17031251700,1.4,-13.8,-1.5
17031251800,-5.9,3.4,4.9
17031251900,6.3,-1.8,4.3
17031252000,-4.6,-3.7,-1.4
17031252101,0,-28.4,-0.3
17031252102,-18.5,23.6,-7.6
17031252201,-11.4,19.1,-14.1
17031252202,-9.1,-8.4,4.6
17031260100,-5.3,18.4,-1.5
17031260200,-19.8,15.7,20.9
17031260300,-9.1,35.4,-16.5
17031260400,-8.5,-11.6,19
17031260500,-15,18.8,5
17031260600,-2.9,-5.7,2.3
17031260700,10.7,1.1,16.3
17031260800,-12.2,64.5,11.4
17031260900,-1.5,-20.2,5.3
17031261000,-5.3,-11.9,14.1
17031270500,4.9,-5.8,11.6
17031271200,20.5,-15.4,12.2
17031271300,0,103.5,1.2
17031271400,0.2,25.1,8.4
17031271500,-9.4,-46.4,-3.4
17031271800,26.4,-38.9,50.4
17031280100,-1,20.8,-2.2
17031280400,12.9,-44.1,10.4
17031280800,6.3,-12.9,-9.7
17031280900,-10.4,253.2,-34.7
17031281900,-1.1,5,5.4
17031282700,11.9,20.7,-3.2
17031282800,1.1,9.5,3.7
17031283100,-0.8,5.4,-6.8
17031283200,-8.9,-2.9,5.8
17031283800,-2.6,1.8,5.4
17031290900,11.3,10.8,-1.1
17031291200,-8.6,49.7,-19.6
17031291600,-6.6,68.7,-39.8
17031292200,10.6,10.6,4.9
17031292400,-6.7,19.2,14.1
17031292500,4.5,4.7,6.7
17031300500,-7.6,12.2,5.6
17031300600,3.7,-0.7,3.2
17031300700,-5,3.4,14.3
17031300800,2.6,-7.6,-6
17031300900,-4.4,25.4,-1.4
17031301100,3.2,-12.6,18
17031301200,7.3,-16.8,0.9
17031301600,0.3,5.8,11.7
17031301701,6.2,4.3,13.5
17031301702,4.2,-18.4,7.6
17031301801,-4.8,33.7,0.1
17031301802,-6.8,7.4,10.9
17031301803,-14.3,1.7,-4.1
17031310200,1.1,-1.8,1.3
17031310300,12.8,-15.6,17.8
17031310400,-12.4,97,6.9
17031310500,-10.7,61.7,-34.4
17031310600,-10.7,34,10.5
17031310700,2.7,55.3,-24.2
17031310800,-12.7,26.7,-8.9
17031310900,0.1,9.6,-6.8
17031320100,0.4,14.6,2.5
17031320400,-6.4,21.3,11.8
17031320600,2.2,-8.4,-5.3
17031330100,-1.5,24,-0.9
17031330200,-0.5,22.2,7.7
17031340300,7.6,-3.6,3.6
17031340400,2.6,-22.8,18.9
17031340500,1.9,7.7,-0.4
17031340600,11.5,24.6,-3.2
17031350100,3.5,-9.9,16.8
17031350400,-19,29.7,5.1
17031351000,-6.6,13,8.1
17031351100,-15.3,7.6,16.5
17031351400,20.8,-9.5,16
17031351500,-18.9,104.6,8.7
17031360200,-15.3,0.6,-8.6
17031380100,3.6,-7.7,5.8
17031380200,-1.8,15.4,4.3
17031380500,24.7,27.6,-14.3
17031380700,-16.1,17.5,-15.8
17031381200,-7.8,16.5,4.2
17031381400,-6.7,2.5,-12.1
17031381500,-19.4,-10.3,36.6
17031381700,0,#DIV/0!,0
17031381800,-7.8,4.8,-3.9
17031381900,5.5,26.8,1.4
17031390100,2.9,42.9,-6.9
17031390200,1.6,3.2,3.1
17031390300,5.6,-23.9,1.1
17031390400,5.3,72.5,-11.2
17031390500,-9.7,-13.2,1.4
17031390600,-1.1,7.4,2
17031390700,3.1,3.1,-3
17031400300,9.8,-18.1,20.9
17031400400,-0.3,12.9,-8.3
17031400500,14.1,-1.9,12.4
17031400800,-3.7,23,-8.1
17031410100,2.7,-4,-4.3
17031410200,-0.7,-40.1,8.1
17031410500,-3,18.2,0.1
17031410600,-1,-44.4,15.7
17031410700,-1.4,18.9,-0.2
17031410800,5.1,0.9,3.9
17031410900,-3.4,-2.4,11
17031411000,2,89,-12.8
17031411100,-1.7,-5.8,-5.1
17031411200,0.2,-2.2,11.1
17031420100,-3.2,7.3,3.4
17031420200,-4.5,-2.9,7
17031420300,11.7,-36.1,16.6
17031420400,1.4,0.6,19.4
17031420500,-9.6,0,6.5
17031420600,14.5,-30.8,27.9
17031420700,10.5,-18.1,18.4
17031420800,-1.9,26.3,-7.4
17031421200,-24.3,13.1,-2
17031430101,6.5,25.8,-5.8
17031430102,-1.2,23.5,3.6
17031430200,8.1,1.9,-1.7
17031430300,10.1,-27.2,21.1
17031430400,-3.9,2.4,41.9
17031430500,1.7,25.4,1.3
17031430600,-7.1,21.7,2.9
17031430700,-5.5,24.1,4.7
17031430800,4.5,6.5,-6.3
17031430900,1.4,-2.9,16.2
17031431200,-0.8,-6.5,6.3
17031431301,9.1,-27.9,0
17031431302,9.8,14.3,-1.6
17031431400,4,5.1,8.1
17031440101,-0.5,-8,4.2
17031440102,5.7,-2.2,1.8
17031440201,-3.1,-14.5,7.2
17031440202,-9.6,16.8,6.1
