GEOID,2016_POP,2010_POP,POPPCTCHG,2016_BLACK,2010_BLACK,BLKPCTCHG,2016_ASIAN,2010_ASIAN,ASNPCTCHG,2016_HISP,2010_HISP,HSPPCTCHG,2016_WHITE,2010_WHITE,WHTPCTCHG,2016_HS,2016_PCTHS,2010_HS,2010_PCTHS,HSPCTCHG,2016_POSTHS,2016_PCTPOSTHS,2010_POSTHS,2010_PCTPOSTHS,PHSPCTCHG,2016_INHU,2016_PCTHMLS,2010_INHU,2010_PCTHMLS,2016_OWNERHU,2010_OWNERHU,2016_RENT,2010_RENT,ORRPCTCHG
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17031010501,3804,3989,-4.6,1107,1947,-43.1,173,225,-23.1,203,215,-5.6,2139,1551,37.9,587,15.4,758,19,-3.6,2408,63.3,1706,42.8,20.5,3784,0.5,3989,0,499,1015,3285,2974,124.7
17031010502,3028,3256,-7,633,644,-1.7,149,308,-51.6,387,437,-11.4,1802,1712,5.3,240,7.9,466,14.3,-6.4,1580,52.2,1385,42.5,9.7,3010,0.6,3256,0,581,775,2429,2481,30.6
17031010503,2061,1778,15.9,213,287,-25.8,353,94,275.5,247,156,58.3,1150,1213,-5.2,727,35.3,280,15.7,19.6,792,38.4,661,37.2,1.2,2019,2,1588,10.7,509,341,1510,1247,-18.9
17031010600,6564,6431,2.1,1698,1782,-4.7,142,346,-59,1696,1821,-6.9,2905,2379,22.1,1451,22.1,1383,21.5,0.6,3344,50.9,2420,37.6,13.3,6378,2.8,6160,4.2,1740,2284,4638,3876,57.1
17031010701,3906,3694,5.7,739,587,25.9,444,65,583.1,1413,1387,1.9,1274,1570,-18.9,1020,26.1,830,22.5,3.6,1661,42.5,1367,37,5.5,3906,0,3694,0,1825,2126,2081,1568,54.6
17031010702,5572,5428,2.7,1059,1089,-2.8,346,75,361.3,2510,2847,-11.8,1461,1345,8.6,1522,27.3,1935,35.6,-8.3,2117,38,1405,25.9,12.1,5494,1.4,5408,0.4,1290,1536,4204,3872,29.3
17031020100,3955,3506,12.8,1474,1065,38.4,749,517,44.9,568,665,-14.6,1000,1303,-23.3,998,25.2,980,28,-2.8,1666,42.1,1264,36.1,6,3902,1.3,3310,5.6,1817,1709,2085,1601,22.5
17031020200,6512,6707,-2.9,521,1160,-55.1,1334,1480,-9.9,1113,385,189.1,3388,3767,-10.1,1285,19.7,1439,21.5,-1.8,3114,47.8,2222,33.1,14.7,6385,2,6608,1.5,4907,5380,1478,1228,32
17031020301,5204,4398,18.3,204,146,39.7,623,280,122.5,423,464,-8.8,3859,3467,11.3,845,16.2,793,18,-1.8,2687,51.6,1848,42,9.6,5199,0.1,4398,0,4156,3768,1043,630,50.1
17031020302,4869,4535,7.4,582,413,40.9,556,480,15.8,767,554,38.4,2815,2887,-2.5,952,19.6,987,21.8,-2.2,2483,51,1770,39,12,4475,8.1,4296,5.3,2361,2326,2114,1970,5.7
17031020400,4617,3835,20.4,1032,373,176.7,733,645,13.6,857,387,121.4,1929,2290,-15.8,1041,22.5,703,18.3,4.2,2023,43.8,1513,39.5,4.3,4598,0.4,3835,0,2365,1938,2233,1897,-3.5
17031020500,5863,5676,3.3,932,813,14.6,1674,1638,2.2,1590,1785,-10.9,1092,1084,0.7,2310,39.4,2078,36.6,2.8,1934,33,1341,23.6,9.4,5608,4.3,5508,3,1453,2251,4155,3257,97.6
17031020601,6316,5766,9.5,372,374,-0.5,1371,1037,32.2,651,1414,-54,3636,2769,31.3,1700,26.9,1356,23.5,3.4,2262,35.8,1392,24.1,11.7,6281,0.6,5766,0,2500,2517,3781,3249,17.2
17031020602,4248,4395,-3.3,461,298,54.7,1173,1066,10,1028,1584,-35.1,1466,1395,5.1,1073,25.3,1238,28.2,-2.9,1668,39.3,1449,33,6.3,4230,0.4,4395,0,1612,1886,2618,2509,22.1
17031020701,1662,1928,-13.8,59,113,-47.8,362,463,-21.8,257,321,-19.9,908,1030,-11.8,394,23.7,463,24,-0.3,812,48.9,850,44.1,4.8,1662,0,1928,0,1066,1190,596,738,-9.8
17031020702,7657,7127,7.4,637,345,84.6,1784,2699,-33.9,1363,837,62.8,3625,3198,13.4,2506,32.7,2267,31.8,0.9,2453,32,2241,31.4,0.6,7475,2.4,6930,2.8,2646,3016,4829,3914,40.6
17031020801,5063,5710,-11.3,105,205,-48.8,1270,1157,9.8,1313,1953,-32.8,2109,2388,-11.7,1575,31.1,1690,29.6,1.5,2192,43.3,2043,35.8,7.5,5058,0.1,5710,0,2014,2871,3044,2839,52.8
17031020802,7346,6636,10.7,760,793,-4.2,2995,1940,54.4,851,1671,-49.1,2341,1930,21.3,1970,26.8,1792,27,-0.2,2914,39.7,2343,35.3,4.4,7324,0.3,6636,0,2745,2861,4579,3775,26.4
17031020901,5053,6334,-20.2,1059,752,40.8,1054,1711,-38.4,1585,2379,-33.4,1224,1227,-0.2,1167,23.1,2026,32,-8.9,2095,41.5,1711,27,14.5,5033,0.4,6334,0,1534,2550,3499,3784,53.7
17031020902,4125,4392,-6.1,519,650,-20.2,850,1028,-17.3,646,739,-12.6,2074,1944,6.7,1513,36.7,1687,38.4,-1.7,1502,36.4,1141,26,10.4,3593,12.9,4183,4.8,2175,2823,1418,1360,35.3
17031030101,3547,3727,-4.8,784,851,-7.9,194,532,-63.5,664,796,-16.6,1773,1511,17.3,616,17.4,744,20,-2.6,2526,71.2,1729,46.4,24.8,3528,0.5,3727,0,1147,1588,2381,2139,54.1
17031030102,2873,3120,-7.9,665,733,-9.3,241,485,-50.3,321,281,14.2,1518,1500,1.2,620,21.6,662,21.2,0.4,1969,68.5,1522,48.8,19.7,2806,2.3,3120,0,1145,1323,1661,1797,6.8
17031030103,2313,1582,46.2,362,370,-2.2,452,212,113.2,346,134,158.2,1136,758,49.9,372,16.1,218,13.8,2.3,1082,46.8,749,47.3,-0.5,1730,25.2,1582,0,481,450,1249,1132,3.2
17031030104,3484,4130,-15.6,396,677,-41.5,711,516,37.8,406,229,77.3,1835,2391,-23.3,476,13.7,513,12.4,1.3,1027,29.5,801,19.4,10.1,1820,47.8,2076,49.7,482,771,1338,1305,64
17031030200,5127,5718,-10.3,276,632,-56.3,249,346,-28,901,664,35.7,3676,3860,-4.8,749,14.6,580,10.1,4.5,3128,61,2715,47.5,13.5,5070,1.1,5663,1,2807,2760,2263,2903,-23.4
