CG_GEOID,GEOID,GENT_IDX,UERPCTCHG,PCIPCTCHG,POVPCTCHG,2016_POP,2010_POP,POPPCTCHG,2016_BLACK,2010_BLACK,BLKPCTCHG,2016_ASIAN,2010_ASIAN,ASNPCTCHG,2016_HISP,2010_HISP,HSPPCTCHG,2016_WHITE,2010_WHITE,WHTPCTCHG,2016_HS,2016_PCTHS,2010_HS,2010_PCTHS,HSPCTCHG,2016_POSTHS,2016_PCTPOSTHS,2010_POSTHS,2010_PCTPOSTHS,PHSPCTCHG,2016_INHU,2016_PCTHMLS,2010_INHU,2010_PCTHMLS,2016_OWNERHU,2010_OWNERHU,2016_RENT,2010_RENT,ORRPCTCHG
CG17031020400,17031020400,0.39325,-0.3,13.4,11.2,4617,3835,20.4,1032,373,176.7,733,645,13.6,857,387,121.4,1929,2290,-15.8,1041,22.5,703,18.3,4.2,2023,43.8,1513,39.5,4.3,4598,0.4,3835,0,2365,1938,2233,1897,-3.5
CG17031020500,17031020500,0.417875,6.2,12.4,4.3,5863,5676,3.3,932,813,14.6,1674,1638,2.2,1590,1785,-10.9,1092,1084,0.7,2310,39.4,2078,36.6,2.8,1934,33,1341,23.6,9.4,5608,4.3,5508,3,1453,2251,4155,3257,97.6
CG17031020601,17031020601,0.53775,3,31.9,-7.5,6316,5766,9.5,372,374,-0.5,1371,1037,32.2,651,1414,-54,3636,2769,31.3,1700,26.9,1356,23.5,3.4,2262,35.8,1392,24.1,11.7,6281,0.6,5766,0,2500,2517,3781,3249,17.2
CG17031020602,17031020602,0.307125,3.7,-11.7,23.5,4248,4395,-3.3,461,298,54.7,1173,1066,10,1028,1584,-35.1,1466,1395,5.1,1073,25.3,1238,28.2,-2.9,1668,39.3,1449,33,6.3,4230,0.4,4395,0,1612,1886,2618,2509,22.1
CG17031020701,17031020701,0.553875,-0.7,46,-12,1662,1928,-13.8,59,113,-47.8,362,463,-21.8,257,321,-19.9,908,1030,-11.8,394,23.7,463,24,-0.3,812,48.9,850,44.1,4.8,1662,0,1928,0,1066,1190,596,738,-9.8
CG17031020702,17031020702,0.48675,-4,-3.5,9,7657,7127,7.4,637,345,84.6,1784,2699,-33.9,1363,837,62.8,3625,3198,13.4,2506,32.7,2267,31.8,0.9,2453,32,2241,31.4,0.6,7475,2.4,6930,2.8,2646,3016,4829,3914,40.6
CG17031020801,17031020801,0.45775,2.5,18.9,-1.2,5063,5710,-11.3,105,205,-48.8,1270,1157,9.8,1313,1953,-32.8,2109,2388,-11.7,1575,31.1,1690,29.6,1.5,2192,43.3,2043,35.8,7.5,5058,0.1,5710,0,2014,2871,3044,2839,52.8
CG17031020802,17031020802,0.437,1.3,18.6,11.7,7346,6636,10.7,760,793,-4.2,2995,1940,54.4,851,1671,-49.1,2341,1930,21.3,1970,26.8,1792,27,-0.2,2914,39.7,2343,35.3,4.4,7324,0.3,6636,0,2745,2861,4579,3775,26.4
CG17031020901,17031020901,0.455125,-2.8,-6.1,13.4,5053,6334,-20.2,1059,752,40.8,1054,1711,-38.4,1585,2379,-33.4,1224,1227,-0.2,1167,23.1,2026,32,-8.9,2095,41.5,1711,27,14.5,5033,0.4,6334,0,1534,2550,3499,3784,53.7
CG17031020902,17031020902,0.40475,-4.1,-0.3,8.6,4125,4392,-6.1,519,650,-20.2,850,1028,-17.3,646,739,-12.6,2074,1944,6.7,1513,36.7,1687,38.4,-1.7,1502,36.4,1141,26,10.4,3593,12.9,4183,4.8,2175,2823,1418,1360,35.3
